[['Term'], ['Beginning Balance', 'Rental', 'Interest', 'Pricipal', 'Ending Balance']]
[[1], [368000.0, 1737.45, 907.73, 829.72, 367170.28]]
[[2], [367170.28, 1737.45, 905.69, 831.76, 366338.52]]
[[3], [366338.52, 1737.45, 903.64, 833.81, 365504.71]]
[[4], [365504.71, 1737.45, 901.58, 835.87, 364668.84]]
[[5], [364668.84, 1737.45, 899.52, 837.93, 363830.91]]
[[6], [363830.91, 1737.45, 897.45, 840.0, 362990.91]]
[[7], [362990.91, 1737.45, 895.38, 842.07, 362148.84]]
[[8], [362148.84, 1737.45, 893.3, 844.15, 361304.69]]
[[9], [361304.69, 1737.45, 891.22, 846.23, 360458.46]]
[[10], [360458.46, 1737.45, 889.13, 848.32, 359610.14]]
[[11], [359610.14, 1737.45, 887.04, 850.41, 358759.73]]
[[12], [358759.73, 1737.45, 884.94, 852.51, 357907.22]]
[[13], [357907.22, 1737.45, 882.84, 854.61, 357052.61]]
[[14], [357052.61, 1737.45, 880.73, 856.72, 356195.89]]
[[15], [356195.89, 1737.45, 878.62, 858.83, 355337.06]]
[[16], [355337.06, 1737.45, 876.5, 860.95, 354476.11]]
[[17], [354476.11, 1737.45, 874.37, 863.08, 353613.03]]
[[18], [353613.03, 1737.45, 872.25, 865.2, 352747.83]]
[[19], [352747.83, 1737.45, 870.11, 867.34, 351880.49]]
[[20], [351880.49, 1737.45, 867.97, 869.48, 351011.01]]
[[21], [351011.01, 1737.45, 865.83, 871.62, 350139.39]]
[[22], [350139.39, 1737.45, 863.68, 873.77, 349265.62]]
[[23], [349265.62, 1737.45, 861.52, 875.93, 348389.69]]
[[24], [348389.69, 1737.45, 859.36, 878.09, 347511.6]]
[[25], [347511.6, 1737.45, 857.2, 880.25, 346631.35]]
[[26], [346631.35, 1737.45, 855.02, 882.43, 345748.92]]
[[27], [345748.92, 1737.45, 852.85, 884.6, 344864.32]]
[[28], [344864.32, 1737.45, 850.67, 886.78, 343977.54]]
[[29], [343977.54, 1737.45, 848.48, 888.97, 343088.57]]
[[30], [343088.57, 1737.45, 846.29, 891.16, 342197.41]]
[[31], [342197.41, 1737.45, 844.09, 893.36, 341304.05]]
[[32], [341304.05, 1737.45, 841.88, 895.57, 340408.48]]
[[33], [340408.48, 1737.45, 839.67, 897.78, 339510.7]]
[[34], [339510.7, 1737.45, 837.46, 899.99, 338610.71]]
[[35], [338610.71, 1737.45, 835.24, 902.21, 337708.5]]
[[36], [337708.5, 1737.45, 833.01, 904.44, 336804.06]]
[[37], [336804.06, 1737.45, 830.78, 906.67, 335897.39]]
[[38], [335897.39, 1737.45, 828.55, 908.9, 334988.49]]
[[39], [334988.49, 1737.45, 826.3, 911.15, 334077.34]]
[[40], [334077.34, 1737.45, 824.06, 913.39, 333163.95]]
[[41], [333163.95, 1737.45, 821.8, 915.65, 332248.3]]
[[42], [332248.3, 1737.45, 819.55, 917.9, 331330.4]]
[[43], [331330.4, 1737.45, 817.28, 920.17, 330410.23]]
[[44], [330410.23, 1737.45, 815.01, 922.44, 329487.79]]
[[45], [329487.79, 1737.45, 812.74, 924.71, 328563.08]]
[[46], [328563.08, 1737.45, 810.46, 926.99, 327636.09]]
[[47], [327636.09, 1737.45, 808.17, 929.28, 326706.81]]
[[48], [326706.81, 1737.45, 805.88, 931.57, 325775.24]]
[[49], [325775.24, 1737.45, 803.58, 933.87, 324841.37]]
[[50], [324841.37, 1737.45, 801.28, 936.17, 323905.2]]
[[51], [323905.2, 1737.45, 798.97, 938.48, 322966.72]]
[[52], [322966.72, 1737.45, 796.65, 940.8, 322025.92]]
[[53], [322025.92, 1737.45, 794.33, 943.12, 321082.8]]
[[54], [321082.8, 1737.45, 792.0, 945.45, 320137.35]]
[[55], [320137.35, 1737.45, 789.67, 947.78, 319189.57]]
[[56], [319189.57, 1737.45, 787.33, 950.12, 318239.45]]
[[57], [318239.45, 1737.45, 784.99, 952.46, 317286.99]]
[[58], [317286.99, 1737.45, 782.64, 954.81, 316332.18]]
[[59], [316332.18, 1737.45, 780.29, 957.16, 315375.02]]
[[60], [315375.02, 1737.45, 777.93, 959.52, 314415.5]]
[[61], [314415.5, 1737.45, 775.56, 961.89, 313453.61]]
[[62], [313453.61, 1737.45, 773.19, 964.26, 312489.35]]
[[63], [312489.35, 1737.45, 770.81, 966.64, 311522.71]]
[[64], [311522.71, 1737.45, 768.42, 969.03, 310553.68]]
[[65], [310553.68, 1737.45, 766.03, 971.42, 309582.26]]
[[66], [309582.26, 1737.45, 763.64, 973.81, 308608.45]]
[[67], [308608.45, 1737.45, 761.23, 976.22, 307632.23]]
[[68], [307632.23, 1737.45, 758.83, 978.62, 306653.61]]
[[69], [306653.61, 1737.45, 756.41, 981.04, 305672.57]]
[[70], [305672.57, 1737.45, 753.99, 983.46, 304689.11]]
[[71], [304689.11, 1737.45, 751.57, 985.88, 303703.23]]
[[72], [303703.23, 1737.45, 749.13, 988.32, 302714.91]]
[[73], [302714.91, 1737.45, 746.7, 990.75, 301724.16]]
[[74], [301724.16, 1737.45, 744.25, 993.2, 300730.96]]
[[75], [300730.96, 1737.45, 741.8, 995.65, 299735.31]]
[[76], [299735.31, 1737.45, 739.35, 998.1, 298737.21]]
[[77], [298737.21, 1737.45, 736.89, 1000.56, 297736.65]]
[[78], [297736.65, 1737.45, 734.42, 1003.03, 296733.62]]
[[79], [296733.62, 1737.45, 731.94, 1005.51, 295728.11]]
[[80], [295728.11, 1737.45, 729.46, 1007.99, 294720.12]]
[[81], [294720.12, 1737.45, 726.98, 1010.47, 293709.65]]
[[82], [293709.65, 1737.45, 724.48, 1012.97, 292696.68]]
[[83], [292696.68, 1737.45, 721.99, 1015.46, 291681.22]]
[[84], [291681.22, 1737.45, 719.48, 1017.97, 290663.25]]
[[85], [290663.25, 1737.45, 716.97, 1020.48, 289642.77]]
[[86], [289642.77, 1737.45, 714.45, 1023.0, 288619.77]]
[[87], [288619.77, 1737.45, 711.93, 1025.52, 287594.25]]
[[88], [287594.25, 1737.45, 709.4, 1028.05, 286566.2]]
[[89], [286566.2, 1737.45, 706.86, 1030.59, 285535.61]]
[[90], [285535.61, 1737.45, 704.32, 1033.13, 284502.48]]
[[91], [284502.48, 1737.45, 701.77, 1035.68, 283466.8]]
[[92], [283466.8, 1737.45, 699.22, 1038.23, 282428.57]]
[[93], [282428.57, 1737.45, 696.66, 1040.79, 281387.78]]
[[94], [281387.78, 1737.45, 694.09, 1043.36, 280344.42]]
[[95], [280344.42, 1737.45, 691.52, 1045.93, 279298.49]]
[[96], [279298.49, 1737.45, 688.94, 1048.51, 278249.98]]
[[97], [278249.98, 1737.45, 686.35, 1051.1, 277198.88]]
[[98], [277198.88, 1737.45, 683.76, 1053.69, 276145.19]]
[[99], [276145.19, 1737.45, 681.16, 1056.29, 275088.9]]
[[100], [275088.9, 1737.45, 678.55, 1058.9, 274030.0]]
[[101], [274030.0, 1737.45, 675.94, 1061.51, 272968.49]]
[[102], [272968.49, 1737.45, 673.32, 1064.13, 271904.36]]
[[103], [271904.36, 1737.45, 670.7, 1066.75, 270837.61]]
[[104], [270837.61, 1737.45, 668.07, 1069.38, 269768.23]]
[[105], [269768.23, 1737.45, 665.43, 1072.02, 268696.21]]
[[106], [268696.21, 1737.45, 662.78, 1074.67, 267621.54]]
[[107], [267621.54, 1737.45, 660.13, 1077.32, 266544.22]]
[[108], [266544.22, 1737.45, 657.48, 1079.97, 265464.25]]
[[109], [265464.25, 1737.45, 654.81, 1082.64, 264381.61]]
[[110], [264381.61, 1737.45, 652.14, 1085.31, 263296.3]]
[[111], [263296.3, 1737.45, 649.46, 1087.99, 262208.31]]
[[112], [262208.31, 1737.45, 646.78, 1090.67, 261117.64]]
[[113], [261117.64, 1737.45, 644.09, 1093.36, 260024.28]]
[[114], [260024.28, 1737.45, 641.39, 1096.06, 258928.22]]
[[115], [258928.22, 1737.45, 638.69, 1098.76, 257829.46]]
[[116], [257829.46, 1737.45, 635.98, 1101.47, 256727.99]]
[[117], [256727.99, 1737.45, 633.26, 1104.19, 255623.8]]
[[118], [255623.8, 1737.45, 630.54, 1106.91, 254516.89]]
[[119], [254516.89, 1737.45, 627.81, 1109.64, 253407.25]]
[[120], [253407.25, 1737.45, 625.07, 1112.38, 252294.87]]
[[121], [252294.87, 1737.45, 622.33, 1115.12, 251179.75]]
[[122], [251179.75, 1737.45, 619.58, 1117.87, 250061.88]]
[[123], [250061.88, 1737.45, 616.82, 1120.63, 248941.25]]
[[124], [248941.25, 1737.45, 614.06, 1123.39, 247817.86]]
[[125], [247817.86, 1737.45, 611.28, 1126.17, 246691.69]]
[[126], [246691.69, 1737.45, 608.51, 1128.94, 245562.75]]
[[127], [245562.75, 1737.45, 605.72, 1131.73, 244431.02]]
[[128], [244431.02, 1737.45, 602.93, 1134.52, 243296.5]]
[[129], [243296.5, 1737.45, 600.13, 1137.32, 242159.18]]
[[130], [242159.18, 1737.45, 597.33, 1140.12, 241019.06]]
[[131], [241019.06, 1737.45, 594.51, 1142.94, 239876.12]]
[[132], [239876.12, 1737.45, 591.69, 1145.76, 238730.36]]
[[133], [238730.36, 1737.45, 588.87, 1148.58, 237581.78]]
[[134], [237581.78, 1737.45, 586.04, 1151.41, 236430.37]]
[[135], [236430.37, 1737.45, 583.19, 1154.26, 235276.11]]
[[136], [235276.11, 1737.45, 580.35, 1157.1, 234119.01]]
[[137], [234119.01, 1737.45, 577.49, 1159.96, 232959.05]]
[[138], [232959.05, 1737.45, 574.63, 1162.82, 231796.23]]
[[139], [231796.23, 1737.45, 571.76, 1165.69, 230630.54]]
[[140], [230630.54, 1737.45, 568.89, 1168.56, 229461.98]]
[[141], [229461.98, 1737.45, 566.01, 1171.44, 228290.54]]
